,CityID,CityName,Country,Lat,Lng,Temperature,MaxTemp,Humidity,Cloudiness,WindSpeed
367,4315067,Ascension,US,30.22,-90.9,39.81,44.6,48,1,3.36
368,5735238,Klamath Falls,US,42.22,-121.78,31.6,33.01,97,1,6.93
369,2634677,Watford,GB,51.66,-0.4,37.38,42.01,93,54,1.12
370,2537881,Safi,MA,32.3,-9.24,47.59,47.59,89,0,5.77
371,2763749,Thalgau,AT,47.83,13.25,26.67,30,100,75,5.82
372,561783,Gavrilov Posad,RU,56.56,40.12,30.99,30.99,77,93,18.34
373,5367788,Lompoc,US,34.64,-120.46,48.09,52,93,75,3.36
374,327651,Teseney,ER,15.11,36.66,54.12,54.12,91,0,7.81
375,2026786,Berezovyy,RU,51.67,135.7,5.25,5.25,67,43,2.48
376,3137469,Sorland,NO,67.67,12.69,37.4,37.4,64,40,18.34
377,139817,Bushehr,IR,28.97,50.84,61.57,62.6,51,75,6.93
378,1524138,Atakent,KZ,40.85,68.51,32.79,32.79,95,100,7.58
379,1489853,Tazovsky,RU,67.47,78.7,-4.85,-4.85,96,100,16.13
380,2477537,Tazmalt,DZ,36.39,4.4,48.2,48.2,76,40,9.17
381,2067089,Maningrida,AU,-12.07,134.27,85.08,85.08,75,98,23.73
382,1529484,Kumul,CN,42.8,93.45,10.04,10.04,86,89,1.92
383,933366,Maun,BW,-19.98,23.42,70.7,70.7,72,17,5.41
384,5847411,Kahului,US,20.89,-156.47,71.56,75.2,64,40,4.7
385,2112309,Katsuura,JP,35.13,140.3,44.82,51.01,56,75,4.7
386,1337606,Eydhafushi,MV,5.1,73.07,83.43,83.43,78,88,22.68
387,4500920,Brigantine,US,39.41,-74.36,25.32,28.99,62,1,5.82
388,2293107,Akoupe,CI,6.39,-3.9,73.22,73.22,95,51,2.24
389,3139597,Sistranda,NO,63.73,8.83,37.4,37.4,86,75,31.09
390,3461408,Ilheus,BR,-14.79,-39.05,80.6,80.6,88,75,2.24
391,1263752,Mangrol,IN,21.12,70.12,68.45,68.45,46,0,12.59
392,498001,Sebezh,RU,56.3,28.47,36,36,82,100,11.65
